Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Agri	Agri	Agri	Agri	Agri	Center	Center	Center	Center	Center	Resid	Resid	Resid	Resid	Resid	Tilap	Tilap	Tilap	Tilap	Tilap	Tipal	Tipal	Tipal	Tipal	Tipal	Tribu	Tribu	Tribu	Tribu	Tribu
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Chrysophyceae:plas	502.0	502.0	502.0	502.0	502.0	12.0	56.0	100.0	252.5	405.0	123.0	126.5	130.0	133.5	137.0	166.0	166.0	166.0	166.0	166.0	43.0	43.0	43.0	43.0	43.0	9.0	58.5	108.0	193.0	278.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;	18.0	18.0	18.0	18.0	18.0	1.0	2.0	3.0	6.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.5	6.0
Bacteria;PANNAM;;;	26.0	26.0	26.0	26.0	26.0	32.0	108.5	185.0	195.5	206.0	51.0	97.25	143.5	189.75	236.0	250.0	250.0	250.0	250.0	250.0	357.0	357.0	357.0	357.0	357.0	16.0	30.5	45.0	108.0	171.0
Bacteria;DST;Deinococcus_Thermus;Deinococcus_Thermus_X;Deinococci	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	11.0	1.0	1.5	2.0	2.5	3.0	8.0	8.0	8.0	8.0	8.0	14.0	14.0	14.0	14.0	14.0	1.0	1.0	1.0	1.0	1.0
Bacteria;PANNAM;Acidobacteria;Acidobacteria_X;Acidobacteriia	1.0	1.0	1.0	1.0	1.0	11.0	12.0	13.0	19.0	25.0	4.0	11.75	19.5	27.25	35.0	37.0	37.0	37.0	37.0	37.0	23.0	23.0	23.0	23.0	23.0	9.0	13.0	17.0	19.0	21.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Mamiellophyceae:plas	121.0	121.0	121.0	121.0	121.0	24.0	31.0	38.0	87.0	136.0	45.0	46.0	47.0	48.0	49.0	87.0	87.0	87.0	87.0	87.0	27.0	27.0	27.0	27.0	27.0	21.0	27.5	34.0	52.0	70.0
Bacteria;PVC;Kiritimatiellaeota;Kiritimatiellaeota_X;Kiritimatiellae	1.0	1.0	1.0	1.0	1.0	1.0	2.5	4.0	5.0	6.0	1.0	2.5	4.0	5.5	7.0	22.0	22.0	22.0	22.0	22.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.5	4.0
Bacteria;Gracilicutes;Fusobacteria;Fusobacteria_X;Fusobacteriia	18.0	18.0	18.0	18.0	18.0	12.0	13.0	14.0	14.5	15.0	7.0	8.25	9.5	10.75	12.0	30.0	30.0	30.0	30.0	30.0	48.0	48.0	48.0	48.0	48.0	10.0	10.5	11.0	16.5	22.0
Bacteria;PANNAM;Acidobacteria;Acidobacteria_X;Subgroup_6	1.0	1.0	1.0	1.0	1.0	1.0	8.5	16.0	27.0	38.0	18.0	25.75	33.5	41.25	49.0	18.0	18.0	18.0	18.0	18.0	47.0	47.0	47.0	47.0	47.0	10.0	12.0	14.0	29.0	44.0
Eukaryota:mito;;;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	9.0	1.0	4.0	7.0	10.0	13.0	14.0	14.0	14.0	14.0	14.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	3.5	6.0
