Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Baao	Baao	Baao	Baao	Baao	Bato	Bato	Bato	Bato	Bato
Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Pseudodendromonadales;Pseudodendromonadales_X;Paramonas	30.0	62.0	94.0	107.0	120.0	54.0	54.0	54.0	54.0	54.0
Eukaryota;Stramenopiles;Opalozoa;MAST-12;MAST-12C;MAST-12C_X;MAST-12C_XX	102.0	130.0	158.0	313.5	469.0	123.0	123.0	123.0	123.0	123.0
Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera_X;Rotifera_XX;	1.0	1.0	1.0	70.0	139.0	1213.0	1213.0	1213.0	1213.0	1213.0
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Cyclotella	1.0	1.0	1.0	12.5	24.0	5802.0	5802.0	5802.0	5802.0	5802.0
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Asulcocephalium	1.0	4.0	7.0	37.5	68.0	5.0	5.0	5.0	5.0	5.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Chlamydomonas	1129.0	1212.5	1296.0	1314.0	1332.0	2256.0	2256.0	2256.0	2256.0	2256.0
Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;	73.0	74.5	76.0	106.0	136.0	38.0	38.0	38.0	38.0	38.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Sphaeropleales_X;Ankistrodesmus	1.0	1.0	1.0	1.0	1.0	18.0	18.0	18.0	18.0	18.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Mesochytrium	21.0	37.5	54.0	93.0	132.0	429.0	429.0	429.0	429.0	429.0
Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Pseudodendromonadales;Pseudodendromonadales_X;	31.0	87.0	143.0	175.5	208.0	305.0	305.0	305.0	305.0	305.0
Eukaryota;Stramenopiles;Ochrophyta;Eustigmatophyceae;Eustigmatophyceae_X;Eustigmatophyceae_XX;Nannochloropsis	80.0	82.5	85.0	112.5	140.0	280.0	280.0	280.0	280.0	280.0
Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Bicoecales;Bicoecaceae;Bicoecaceae_X	5.0	12.5	20.0	30.5	41.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Chytridiomycetes_X	1.0	1.0	1.0	1.0	1.0	38.0	38.0	38.0	38.0	38.0
Eukaryota;Stramenopiles;Ochrophyta;;;;	119.0	146.5	174.0	190.0	206.0	17.0	17.0	17.0	17.0	17.0
Eukaryota;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;;	1.0	14.0	27.0	48.5	70.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;	76.0	84.5	93.0	201.0	309.0	268.0	268.0	268.0	268.0	268.0
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;;	43.0	52.0	61.0	143.5	226.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Alveolata;Apicomplexa;Colpodellidea;Colpodellida;Alphamonaceae;	1.0	1.0	1.0	47.0	93.0	22.0	22.0	22.0	22.0	22.0
Eukaryota;Stramenopiles;Pseudofungi;Oomycota;Oomycota_X;Peronosporales;Peronosporales_X	11.0	29.0	47.0	71.5	96.0	153.0	153.0	153.0	153.0	153.0
Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Urostylidae;Uroleptus	1.0	62.5	124.0	142.5	161.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;Pedinellales_X	61.0	102.5	144.0	146.5	149.0	46.0	46.0	46.0	46.0	46.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Sphaeropleales_X;Raphidocelis	1.0	1.0	1.0	8.0	15.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Opisthokonta;Metazoa;;;;	34.0	41.5	49.0	57.0	65.0	208.0	208.0	208.0	208.0	208.0
Eukaryota;Stramenopiles;;;;;	1.0	5.0	9.0	11.0	13.0	12.0	12.0	12.0	12.0	12.0
Eukaryota;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Synurales_X;Mallomonas	11.0	13.5	16.0	68.0	120.0	63.0	63.0	63.0	63.0	63.0
Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Monomastigales;Monomastigaceae;	181.0	185.0	189.0	541.0	893.0	335.0	335.0	335.0	335.0	335.0
Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Vorticella	1.0	1.0	1.0	8.5	16.0	101.0	101.0	101.0	101.0	101.0
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-B2;Chrysophyceae_Clade-B2_X	54.0	109.0	164.0	468.0	772.0	20.0	20.0	20.0	20.0	20.0
Eukaryota;Alveolata;Ciliophora;Litostomatea;Litostomatea_X;Litostomatea_XX;Teuthophrys	1.0	1.0	1.0	1.0	1.0	135.0	135.0	135.0	135.0	135.0
Eukaryota;Alveolata;Ciliophora;Colpodea;Colpodea_X;Platyophryida;Woodruffides	1.0	1.0	1.0	11.5	22.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peniculia;Parameciidae;Paramecium	1.0	2.5	4.0	22.5	41.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Opisthokonta;Metazoa;Craniata;Craniata_X;Teleostei;Leiopotherapon	1.0	2.0	3.0	11.5	20.0	249.0	249.0	249.0	249.0	249.0
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-D;Chrysophyceae_Clade-D_X	311.0	326.5	342.0	420.0	498.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;;	321.0	740.5	1160.0	1250.0	1340.0	60.0	60.0	60.0	60.0	60.0
Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Cyclops	1.0	4.5	8.0	396.5	785.0	373.0	373.0	373.0	373.0	373.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;;	1.0	1.0	1.0	1.0	1.0	903.0	903.0	903.0	903.0	903.0
Eukaryota;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;Urotrichidae;Urotricha	141.0	149.0	157.0	334.0	511.0	164.0	164.0	164.0	164.0	164.0
Eukaryota;Apusozoa;Apusomonadidae;Apusomonadidae_Group-4;Apusomonadidae_Group-4_X;Apusomonadidae_Group-4_XX;Diphylleia	17.0	25.0	33.0	66.0	99.0	24.0	24.0	24.0	24.0	24.0
Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;	344.0	627.5	911.0	925.5	940.0	41.0	41.0	41.0	41.0	41.0
Eukaryota;Opisthokonta;Fungi;Cryptomycota;Cryptomycotina;Cryptomycotina_X;Rozella	1.0	1.0	1.0	10.5	20.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;;;	1.0	1.0	1.0	3.5	6.0	45.0	45.0	45.0	45.0	45.0
Eukaryota;Protalveolata;Protalveolata_X;Colponemea;Colponemida;Colponemidae;Colponema	5.0	7.0	9.0	9.5	10.0	10.0	10.0	10.0	10.0	10.0
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Choanoflagellatea_X;Choanoflagellatea_X_Group_L;Choanoflagellatea_X_Group_L_X	12.0	40.0	68.0	73.0	78.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;CONThreeP_XX;Askenasia	95.0	183.0	271.0	478.0	685.0	14.0	14.0	14.0	14.0	14.0
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Tovelliaceae;Esoptrodinium	1.0	1.0	1.0	114.5	228.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Chloromonas	1.0	5.0	9.0	14.0	19.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Stramenopiles;Pseudofungi;Oomycota;Oomycota_X;;	1.0	1.0	1.0	15.0	29.0	1.0	1.0	1.0	1.0	1.0
