	W	Reject null hypothesis
0f83c40ea96892b43d49c1827e18ab90	355	True
f9dacb9a30ac1e72e0f9865021dd4a9c	355	True
42c800fb21201e85daf464c3d62b404f	355	True
20f54b37a2d761b254565fb89eb7d804	355	True
8c7327a19e25518724f073c9b9ca03c0	355	True
632da287c5cf9b4a1ca259ff2fb5f637	355	True
e2827a805d098fdb63fba47695ef17f3	355	True
df55f30f195ae4815d554433d285b839	355	True
396e72c8df374537765f3b3ef041a486	355	True
f3f3d7b49a7ec5b7c3c49bd99e16f0bc	355	True
7ccb05fd6e20cb6b32fe7da92bfdffde	355	True
c4debfffb5552abc5445848e898e9b3b	355	True
2868640e935217449fafc5e7a17b192e	355	True
1ffd61771701fb66ca17c8c0ce6e515e	355	True
38f1d24cf97eb326fcc00c0451c7ea64	355	True
5e2c259f9b25c2e955161b665a2df9b6	355	True
b9b82fec07fe01d65fb442c11d9f2be4	355	True
58165d282d254eacf74f11187ad7e612	355	True
03fcb4586490f135b1ecb6adf1523e56	354	True
e0d50a6f15fe8823526abf309cb937ab	354	True
5ec67fc5c637a93136d7df9d149acfa5	354	True
949ebb93496ade753d3d89036571b161	354	True
092485bd2fd2af04dc607c0badccce6c	354	True
b9e8523187f9dc050e4118717eeac0f2	354	True
8af333c0bc33c7a6cd6781090bc69741	354	True
77562308092193b5b56cf219948120b6	354	True
d53d7200943d9ad3157b55f414d96a1e	354	True
0dc063534dec4473ac4a56d3be3127fd	354	True
9dceb43373bc18ee00b128f3ab6a1413	354	True
4fd7f8ed11654dc63a0448b9a51d2c65	354	True
6c99c93181d0a10a2f3ae6b3e9d52ad2	354	True
59b0f9be62c4635f69857ec5e6741e20	354	True
9752871fba1e83802423f160823d5756	354	True
8bfe7914500172d2a102d2d6a3622a72	354	True
55d514c50bc1ae8a4ae732c1facef1ff	354	True
4fa2cac397192fea228e13bf24f66362	354	True
121ad712d462450213fe3aa2f292438b	354	True
09d2b8131e7d0ad2d60d7cac6432d5f9	354	True
fdee4761be02f466accca7a2779ff4f5	354	True
121229af26e4f53f7edb85394a63ccc3	353	True
68876cbbc1f23e73af944272450d0625	353	True
32a41238c59fee0d2d774588b6922efc	353	True
125cefcf2b1d516239a37df99d3f1046	353	True
0ea0638b8a3801ce9bc352e0ae1bf2fe	353	True
299e1845fb031fdd254fede0464a7c81	353	True
b88a5c7a41250298a19c20ac11f90a77	353	True
45273caf1b0c6cc3c7f1714bbedeedb9	353	True
d455f36c6c706b942c3b7bd5eec081da	353	True
7b060b41c0fff79e7c615de4df26ed6f	353	True
8447a97b5777130030c963ec18cc07b3	353	True
df79da6fb00b56e471572db46df651af	353	True
ba0ad93bc2dcf186e734987b95f26b07	353	True
31ed867e28ebee47209e42a6f270c599	353	True
de1d504f6995c3e3dd9d2738ed3db464	353	True
ea29e8659b1e105533b8abadcca1822b	353	True
21972e23b60c9c226e5ad5136cb0b626	353	True
027984dab415790d64d5efc507da5534	353	True
c14c2c014285a85951119e6e3a1553ad	353	True
b31a2892f7ee98e3e162e7d513b3c92e	353	True
b2e2405c6e596dd4f6e1c9dd27c53118	353	True
ba7948674961853180a18d760bafd7f5	353	True
77d1839768cac614b115cf7238017bbd	353	True
fd73683e426c78a8d036d4248501a631	353	True
