# Constructed from biom file
#OTU ID	Baao_Agri_563	Baao_Center_563	Baao_Tribu_563	Bato_Center_563	Bato_Resid_563	Bato_Tilap_563	Bato_Tribu_563	Buhi_Center_563	Buhi_Resid_563	Buhi_Tilap_563	Buhi_Tribu_563
Eukaryota:mito;TSAR:mito;Stramenopiles:mito;Gyrista:mito	0.0007352087605928104	0.0007524787535410764	0.0004946821667078902	0.0026334026334026333	0.0035312082458484446	0.004263606695441626	0.0024251662971175167	0.005366178668539427	0.0039425177498634625	0.004501212503737169	0.004497338910819144
Bacteria;Terrabacteria;;	0.007584258793483728	0.0034304178470254956	0.0002679528403001072	0.0	0.0	3.5091413131206796e-05	0.0003695491500369549	0.005114076314983883	0.004300928454396505	0.0026077135169252233	0.004300948565368526
Bacteria;FCB;Gemmatimonadetes;Gemmatimonadetes_X	0.0023217118755562436	0.002301699716713881	0.0009481408195234561	0.0018537768537768538	0.001574728001527009	0.0012983822858546514	0.0014781966001478197	0.002448994291682423	0.0018944565811032223	0.002109424309869448	0.0019835424890512383
Eukaryota:plas;;;	0.0	0.0	8.244702778464837e-05	0.0	0.0	0.0004035512510088781	6.929046563192905e-05	0.00030612428646030286	0.00017067176406335336	0.00014948676211673254	0.0005106148981716059
Eukaryota:plas;Archaeplastida:plas;;	0.0	0.0	0.0	0.0	0.0	0.0	9.238728750923873e-05	5.402193290475933e-05	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Dinoflagellata	0.0	0.0002877124645892351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;CCD;Patescibacteria;Patescibacteria_X	7.739039585187479e-05	0.0	0.0003916233819770797	0.00032917532917532916	0.00014315709104790992	0.00022809418535284416	0.0017091648189209165	0.0	0.0	0.0	0.0
Bacteria;Terrabacteria;Armatimonadetes;Armatimonadetes_X	0.002283016677630306	0.001394298866855524	0.0012779289306620496	0.0003465003465003465	0.0006919259400648979	0.0009650138611081868	0.00016167775314116778	0.00028811697549204976	0.00044374658656471874	0.0007474338105836627	0.0008444784854376559
Eukaryota:plas;TSAR:plas;Alveolata:plas;Dinoflagellata:plas	0.0	0.0	0.0	0.0014206514206514206	9.54380606986066e-05	0.000754465382320946	0.0003002586844050259	3.601462193650622e-05	0.0	4.982892070557752e-05	0.0
Bacteria;FCB;Fibrobacteres;Fibrobacteres_X	0.00011608559377781217	0.0	0.00041223513892324183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota:plas;Archaeplastida:plas;Streptophyta:plas;Streptophyta_X:plas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023253496329269508	0.0
Bacteria;Gracilicutes;Dependentiae;Dependentiae_X	0.00013543319274078087	0.0	8.244702778464837e-05	0.0002079002079002079	0.0	0.00028073130504965437	0.0	0.0010624313471269335	0.0010752321135991262	0.0010464073348171279	0.001237259176338891
Eukaryota;Obazoa;Opisthokonta;Metazoa	0.0	0.0	0.0	5.197505197505198e-05	9.54380606986066e-05	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.304820117596253e-05	0.0
Bacteria;Gracilicutes;Spirochaetes;Spirochaetes_X	0.0	0.0002877124645892351	0.0	0.0011261261261261261	0.0003340332124451231	0.00029827701161525775	0.0005774205469327421	0.00023409504258729044	0.00025600764609503006	0.00016609640235192507	0.0005302539327166676
Bacteria;PVC;Chlamydiae;Chlamydiae_X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.413435281267067e-05	0.0	0.0
Eukaryota:plas;Archaeplastida:plas;Glaucophyta:plas;Glaucophyta_X:plas	0.0	0.0	0.00014428229862313463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;PVC;;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00081032899357139	0.00044374658656471874	0.0005315084875261602	0.0006088100708969147
Bacteria;Terrabacteria;Tenericutes;Tenericutes_X	7.739039585187479e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
